Cliente	Fecha	Pedido	Precio	Producto	Nombre_producto	
Cliente26	18/09/2017	20	700	VER0049	Yerbabuena / 100 gramos	
Cliente26	18/09/2017	10	1200	FRU0024	Limón Tahití / Libra	
Cliente26	18/09/2017	4	1600	VER0041	Puerro / Libra	
Cliente26	18/09/2017	10	1500	VER0038	Pimentón Rojo / Libra	
Cliente26	18/09/2017	8	1100	VER0010	Zucchini Verde / Libra	
Cliente26	18/09/2017	30	1000	VER0052	Plátano Maduro / Libra	
Cliente26	18/09/2017	24	1000	TUB0012	Zanahoria / Libra	
Cliente3	18/09/2017	1	4500	VER0050	Rúgula / Libra	
Cliente3	18/09/2017	1	3500	VER0043	Repollo Morado / Unidad	
Cliente3	18/09/2017	2	1500	VER0038	Pimentón Rojo / Libra	
Cliente3	18/09/2017	2	1400	VER0028	Lechuga Crespa / Unidad	
Cliente3	18/09/2017	1	1400	VER0020	Espinaca / Libra	
Cliente3	18/09/2017	2	500	VER0017	Cilantro / 100 gramos	
Cliente3	18/09/2017	3	7000	VER0016	Champiñón / Libra	
Cliente3	18/09/2017	1	1600	VER0013	Cebolla Cabezona Roja / Libra	
Cliente3	18/09/2017	5	1200	VER0007	Berenjena / Libra	
Cliente3	18/09/2017	4	1000	TUB0012	Zanahoria / Libra	
Cliente3	18/09/2017	3	1400	TUB0010	Remolacha / Libra	
Cliente3	18/09/2017	1	1900	TUB0009	Rábano Rojo / Libra	
Cliente3	18/09/2017	5	700	TUB0006	Papa Pastusa / Libra	
Cliente3	18/09/2017	2	1300	TUB0005	Papa Criolla / Libra	
Cliente3	18/09/2017	3	3000	GRA0006	Mazorca Desgranada / Libra	
Cliente3	18/09/2017	5	1300	FRU0046	Tomate Chonto / Libra	
Cliente3	18/09/2017	2	4000	FRU0045	Tomate Cherry / Libra	
Cliente3	18/09/2017	1	4200	FRU0039	Patilla Baby / Unidad	
Cliente3	18/09/2017	2	1200	FRU0024	Limón Tahití / Libra	
Cliente3	18/09/2017	3	1100	FRU0008	Banano Criollo / Libra	
